Index,Name,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
0,A. Ananthalakshmih,9166.465,517.8720833,9,5,22,3,16.25,19.5,11.385,10.75,0,1943.21,32.66478584,151.625,21.38599662,0,276.6005333,Poor
1,A. Ananthalakshmiq,104658.75,8434.5625,4,7,11,1,14.75,14.25,17.76,8.375,1,1218.42,32.89960947,344.5,52.07193108,58.58061202,637.8716661,Standard
2,A. Ananthalakshmix,88346.48,7289.206667,4,3,18,1,10.25,13.25,19.56,0,1,1392.71,35.97452715,272.5,46.65991382,97.92528291,636.9188494,Standard
3,A. Anathalakshmis,7097.015,500.4179167,10,9,22,7,52.75,23,23.84,11,0,3886.64,29.0211736,31.5,34.01045861,13.23407244,270.5934473,Poor
4,A.b,27003.28,2169.773333,4.5,3,15,4.5,17.0625,10.5625,6.825,5,1,1586.44,32.12329062,176.5,28.92577768,31.9998707,369.5553558,Standard
5,A.g,28225.49,2356.124167,1,4,6,0,13.125,0.625,9.98,7.5,2,245.6,32.00745723,259.5,0,51.24434127,361.3432906,Good
6,A.i,20022.29,1607.524167,7,6,21,7,28.5,19.25,17.025,7,0,4697.06,31.17527476,49.5,100.8440041,34.60741944,228.6967594,Standard
7,A.j,25709.78,2151.481667,3,4.5,14,2,11.6875,9.5,10.6025,5.75,2,1229.92,30.63458419,265,39.62253006,47.09605362,283.4296702,Standard
8,A.k,40854.02,3552.501667,2,4,6,1,2.375,0.5,8.83,2,2,462.84,30.6902666,323.5,26.26179386,51.79505517,464.9884913,Good
9,A.o,25198.19,2347.849167,3,6,19,3,28.5,8.625,5.33,5.5,1,1261.93,33.57069051,205.5,48.63721777,25.2068748,335.4164233,Standard
10,A.u,19125.75,1437.8125,3,6,4,3,18,13.375,10.32,0,2,1243.2,34.93434548,248.5,33.55774425,27.96053647,283.7965131,Good
11,Aaron Maashoh,19114.12,1824.843333,3,4,3,4,4.25,5.5,10.395,4,2,809.98,27.16072338,268.5,49.57494921,21.46538026,304.5552939,Good
